student_id,name,age,marks,city,join_date
1,Ali,19.0,74.0,Karachi,2024-10-06
2,Sara,17.0,65.0,Karachi,2024-02-09
4,Nida,20.0,55.0,Faisalabad,2024-08-07
5,Bilal,19.0,96.0,Lahore,2024-10-07
6,Ayesha,22.0,73.0,Faisalabad,2024-11-07
7,Usman,17.0,79.0,Karachi,2024-10-11
8,Hina,16.0,95.0,Faisalabad,2024-11-25
10,Mahnoor,18.0,88.0,Lahore,2024-07-07
13,Kashif,17.0,95.0,Karachi,2024-12-26
15,Adeel,17.0,52.0,Faisalabad,2024-01-06
16,Rabia,19.0,93.0,Multan,2024-02-14
17,Noman,21.0,55.0,Karachi,2024-10-03
19,Waqas,19.0,62.0,Lahore,2024-11-07
20,Amna,19.0,66.0,Faisalabad,2024-03-05
21,Tariq,22.0,58.0,Islamabad,2024-12-16
22,Fatima,16.0,58.0,Faisalabad,2024-12-05
23,Junaid,20.0,76.0,Lahore,2024-02-04
24,Zainab,17.0,68.0,Karachi,2024-03-14
25,Asad,17.0,63.0,Faisalabad,2024-06-25
