student_id,name,subject,marks
1,Ali,Chemistry,91
1,Ali,Physics,53
1,Ali,Biology,54
2,Sara,English,87
2,Sara,Math,53
2,Sara,Physics,82
3,Zain,Physics,77
3,Zain,Math,76
3,Zain,Biology,54
4,Nida,Physics,77
4,Nida,Math,53
4,Nida,Chemistry,86
5,Bilal,Math,90
5,Bilal,Physics,87
5,Bilal,Chemistry,53
6,Ayesha,English,64
6,Ayesha,Biology,52
6,Ayesha,Math,85
7,Usman,Physics,59
7,Usman,Chemistry,84
7,Usman,English,57
8,Hina,English,93
8,Hina,Chemistry,61
8,Hina,Biology,56
9,Faisal,English,56
9,Faisal,Physics,85
9,Faisal,Biology,95
10,Mahnoor,Math,63
10,Mahnoor,English,81
10,Mahnoor,Chemistry,93
1,Ali,Chemistry,70
