emp_id,name,department,salary,hire_date,performance_score
500,Nadia_0,sales ,77303,2022-11-18,2.2
501,Talha_1,Engineering,82150,2022-01-17,3.3
502,Omar_2,HR,,2022-11-27,2.0
503,Ahsan_3,Finance,5000000,2022-12-08,2.8
504,Bilal_4,Finance,84217,2022-10-23,2.9
505,Talha_5,ENGINEERING,77605,2022-05-18,4.1
506,Ahsan_6,Marketing,71117,2022-01-11,4.9
507,Talha_7,Finance,41931,2022-11-20,2.1
508,Faraz_8,Sales,50328,2022-03-28,N/A
509,Zara_9,Marketing,81535,2022-08-09,15.0
510,Ahsan_10,Sales,86934,15/06/2022,4.4
511,Ahsan_11,Sales,56801,2022-07-24,2.3
512,Omar_12,Sales,2000000,2022-10-27,3.8
513,Laiba_13,Sales,65977,2022-05-27,4.2
514,Mariam_14,,60916,2022-12-01,4.6
515,Bilal_15,HR,66661,2022-12-12,3.4
516,Bilal_16,HR,82467,"June 20, 2022",3.6
517,Nadia_17,Sales,76016,2022-01-19,4.4
518,Nadia_18,Marketing,54709,not recorded,5.0
519,Sidra_19,Sales,78283,2022-06-28,4.3
520,Zara_20,Finance,62000 pkr,2022-03-11,2.0
521,Ahsan_21,Finance,71401,2022-03-21,3.2
522,Faraz_22,Sales,68925,2022-04-22,2.1
523,Nadia_23,Sales,61749,2022-10-24,3.4
524,Nadia_24,Engineering,50723,2022-04-18,2.6
504,Bilal_4,Finance,84217,2022-10-23,2.9
