student_id,name,subject,term,marks
1,Ali,Math,Term1,65
1,Ali,Math,Term2,87
1,Ali,Physics,Term1,84
1,Ali,Physics,Term2,58
1,Ali,Chemistry,Term1,73
1,Ali,Chemistry,Term2,88
2,Sara,Math,Term1,80
2,Sara,Math,Term2,90
2,Sara,Physics,Term1,87
2,Sara,Physics,Term2,54
2,Sara,Chemistry,Term1,88
2,Sara,Chemistry,Term2,50
3,Zain,Math,Term1,80
3,Zain,Math,Term2,66
3,Zain,Physics,Term1,85
3,Zain,Physics,Term2,64
3,Zain,Chemistry,Term1,62
3,Zain,Chemistry,Term2,95
4,Nida,Math,Term1,80
4,Nida,Math,Term2,84
4,Nida,Physics,Term1,85
4,Nida,Physics,Term2,80
4,Nida,Chemistry,Term1,75
4,Nida,Chemistry,Term2,90
5,Bilal,Math,Term1,59
5,Bilal,Math,Term2,64
5,Bilal,Physics,Term1,90
5,Bilal,Physics,Term2,59
5,Bilal,Chemistry,Term1,83
5,Bilal,Chemistry,Term2,74
